Link,Model,Price,Old price
https://www.kant.ru/catalog/product/2450101/,Welt pony 16 2020 purple/orange,13 990,
https://www.kant.ru/catalog/product/2449653/,Welt dingo 16 2020 acid green/blue,13 990,
https://www.kant.ru/catalog/product/2712447/,Bulls sharptail street 2 gent 29 2020,37 990,42 990
https://www.kant.ru/catalog/product/2449877/,Welt dingo 20 2020 dark blue/green,14 990,
https://www.kant.ru/catalog/product/2712467/,Bulls pulsar eco 27.5 2020 black matt/blue,25 990,30 990
https://www.kant.ru/catalog/product/2450117/,Welt pony 20 2020 aqua blue/blue,14 990,
https://www.kant.ru/catalog/product/2712487/,Bulls sharptail 2 disc 27.5 2020,39 990,45 990
https://www.kant.ru/catalog/product/2449669/,Welt peak 26 disc 2020 matt black/orange,23 990,
https://www.kant.ru/catalog/product/2712775/,Bulls nandi 27.5 2020 metallic off white,33 990,37 990
https://www.kant.ru/catalog/product/2450007/,Welt edelweiss 20 2020 matt royal blue/violet,19 990,
https://www.kant.ru/catalog/product/2712807/,Bulls zarena 1 27.5 2020,32 990,36 990
https://www.kant.ru/catalog/product/2712895/,Bulls wildtail 2 27.5 2020,37 990,
https://www.kant.ru/catalog/product/2450191/,Welt dingo 14 2020 blue/orange,13 490,
https://www.kant.ru/catalog/product/2713013/,Bulls copperhead 1 27.5 2020 grey,62 990,71 990
https://www.kant.ru/catalog/product/2450057/,Welt dingo 18 2020 red/yellow,14 490,
https://www.kant.ru/catalog/product/2713047/,Bulls sharptail 2 disc 29 2020,40 490,45 990
https://www.kant.ru/catalog/product/2450093/,Welt pony 12 2020 white/pink,12 990,
https://www.kant.ru/catalog/product/2713295/,Bulls sharptail 3 disc 27.5 2020,43 990,49 990
https://www.kant.ru/catalog/product/2450077/,Welt pony 14 2020 violet/pink,13 490,
https://www.kant.ru/catalog/product/2713375/,Bulls wildtail 1 disc 27.5 2020 chrome red/black matt,33 990,
https://www.kant.ru/catalog/product/2450121/,Welt peak 24 2020 matt marine blue/green,22 990,
https://www.kant.ru/catalog/product/2713443/,Bulls sharptail street 2 gent 27.5 2020,37 490,42 990
https://www.kant.ru/catalog/product/2450085/,Welt subway 24 2020 dark grey,28 990,
https://www.kant.ru/catalog/product/2713629/,Bulls grinder 2 2020,159 990,
https://www.velosite.ru/product/stinger-reload-ultimate-29/2020/,Stinger  Reload Ultimate 29  2020,64 300,
https://www.velosite.ru/product/stinger-vancouver-pro/2020/,Stinger  Vancouver Pro  2020,53 050,
https://www.velosite.ru/product/stinger-vancouver-evo-28/2018/,Stinger  Vancouver Evo 28  2018,50 710,
https://www.velosite.ru/product/stinger-reload-d-26/2017/,Stinger  Reload D 26  2017,27 000,
https://www.velosite.ru/product/stinger-reload-std-27-5/2018/,Stinger  Reload Std 27.5  2018,30 950,
https://www.velosite.ru/product/stinger-reload-evo-27/2020/,Stinger  Reload Evo 27  2020,35 680,
https://www.velosite.ru/product/stinger-stream-evo/2019/,Stinger  Stream Evo  2019,46 310,
https://www.velosite.ru/product/stinger-campus-evo-28/2018/,Stinger  Campus Evo 28  2018,34 330,
https://www.velosite.ru/product/stinger-stream-evo/2020/,Stinger  Stream Evo  2020,49 320,
https://www.velosite.ru/product/stinger-stream-pro/2020/,Stinger  Stream Pro  2020,98 710,
https://www.velosite.ru/product/stinger-campus-std-28/2018/,Stinger  Campus Std 28  2018,24 120,
https://www.velosite.ru/product/stinger-python-pro-27/2020/,Stinger  Python Pro 27  2020,43 780,
https://www.velosite.ru/product/stinger-quest-evo-27/2019/,Stinger  Quest Evo 27  2019,76 300,
https://www.velosite.ru/product/stinger-magnet-pro-24/2018/,Stinger  Magnet Pro 24  2018,30 240,
https://www.velosite.ru/product/welt-rubicon-2-0-27/2020/,Welt  Rubicon 2.0 27  2020,51 990,
https://www.velosite.ru/product/stinger-zeta-pro-29/2018/,Stinger  Zeta Pro 29  2018,51 280,
https://www.velosite.ru/product/stinger-stream-std/2019/,Stinger  Stream Std  2019,29 930,
https://www.velosite.ru/product/stinger-reload-le-29/2020/,Stinger  Reload LE 29  2020,29 350,
https://www.velosite.ru/product/stinger-python-pro-29/2020/,Stinger  Python Pro 29  2020,43 780,
https://www.velosite.ru/product/stinger-genesis-pro-29/2018/,Stinger  Genesis Pro 29  2018,89 000,
https://www.velosite.ru/product/stinger-reload-pro-29/2020/,Stinger  Reload Pro 29  2020,41 510,
https://www.velosite.ru/product/stinger-reload-pro-27-5/2018/,Stinger  Reload Pro 27.5  2018,35 430,
https://www.velosite.ru/product/stinger-reload-std-29/2020/,Stinger  Reload STD 29  2020,33 380,
